device_id,device_type,os,manufacturer,network_operator,user_id,name,age,location,data_usage,network_speed,connection_duration,session_start_time,cell_id,signal_strength,latency,jitter,packet_loss
2591,IoT device,Android,Apple,Vodafone,4314,Andrew Crosby,62,"(Decimal('8.596989'), Decimal('-147.988040'))",31.23,486.79,3276,2024-01-20 08:02:07.955536,211,-108.06,96.66,12.97,4.56
7793,smartphone,Android,Huawei,Verizon,840,Stacey Jones,39,"(Decimal('-8.348526'), Decimal('52.940482'))",23.32,718.48,4640,2024-08-05 11:19:09.388619,371,-83.7,35.97,25.06,1.04
2070,smartphone,iOS,Huawei,Vodafone,9935,Sonya Johnson,43,"(Decimal('-66.0953455'), Decimal('67.969843'))",6.92,228.24,3667,2024-09-03 01:26:44.069786,627,-112.76,61.92,11.3,0.43
5839,IoT device,iOS,Apple,Vodafone,8188,Jared Sweeney,71,"(Decimal('64.058423'), Decimal('-93.513917'))",42.45,289.03,158,2024-04-07 02:39:37.496091,877,-102.75,18.63,5.69,1.11
4622,router,Android,Samsung,AT&T,8770,Jacob Murray,42,"(Decimal('-66.7739265'), Decimal('117.459656'))",49.78,506.38,4555,2024-02-22 19:29:31.537402,243,-87.82,41.75,24.53,0.39
1271,smartphone,Windows,Nokia,AT&T,1294,Andrew Martin,44,"(Decimal('-34.5926875'), Decimal('-36.493036'))",42.06,822.58,7024,2024-03-23 09:00:10.724643,58,-70.44,16.92,49.4,4.98
6528,router,iOS,Sony,T-Mobile,7370,Brandon Smith,46,"(Decimal('-58.361407'), Decimal('152.250347'))",5.7,240.97,3764,2024-07-24 14:23:08.160856,535,-105.2,91.85,24.7,2.41
1571,router,Windows,Apple,Verizon,7042,Michael Taylor,77,"(Decimal('-9.025679'), Decimal('50.936596'))",49.28,894.42,5241,2024-01-23 03:02:42.653156,346,-56.67,35.4,39.84,4.84
2138,smartphone,Windows,Apple,T-Mobile,8647,Tonya Shepard,27,"(Decimal('-83.8281865'), Decimal('-73.470474'))",30.42,334.4,238,2024-03-02 12:12:38.237226,347,-88.99,70.29,18.61,3.07
3013,smartphone,Windows,Huawei,Verizon,4242,Brenda Chung,39,"(Decimal('-34.298837'), Decimal('-29.836903'))",21.78,671.42,3727,2024-09-24 17:33:15.691183,519,-49.95,31.35,27.26,3.52
9553,IoT device,Windows,Sony,Verizon,7403,Matthew Graham,37,"(Decimal('40.4960265'), Decimal('-28.976113'))",3.89,307.27,6104,2024-03-25 19:28:39.317707,886,-116.5,60.73,1.58,4.88
1301,router,Windows,Huawei,Vodafone,4146,Ryan Green,52,"(Decimal('-25.786760'), Decimal('-93.823967'))",5.33,422.8,3810,2024-01-15 03:40:16.923422,941,-103.73,57.3,45.12,1.62
4131,smartphone,iOS,Apple,T-Mobile,5053,Ricky Coleman,51,"(Decimal('43.2457845'), Decimal('87.623977'))",18.34,315.87,3609,2024-09-17 00:58:40.181155,752,-51.94,46.8,1.56,0.42
1864,IoT device,iOS,Sony,Vodafone,8207,Brendan Davis,59,"(Decimal('-25.619557'), Decimal('-5.153461'))",7.08,508.95,1082,2024-03-07 13:08:59.180397,727,-59.38,77.48,1.22,4.01
4261,IoT device,Windows,Nokia,AT&T,4112,Scott Cox,31,"(Decimal('-1.6565715'), Decimal('-88.019821'))",20.89,31.71,1099,2024-04-20 07:56:01.613217,520,-72.52,10.25,6.72,1.48
7211,IoT device,Android,Apple,T-Mobile,6517,Corey Wyatt,27,"(Decimal('-89.6201645'), Decimal('64.102179'))",39.38,609.38,4053,2024-07-23 11:53:25.522839,722,-81.32,42.08,41.87,2.49
6224,smartphone,Android,Sony,T-Mobile,6738,Mr. Grant Barber II,26,"(Decimal('-2.233844'), Decimal('43.858332'))",40.79,211.51,3205,2024-06-23 02:05:05.070930,874,-79.13,48.09,40.1,1.04
9505,smartphone,Windows,Apple,T-Mobile,1751,Kimberly Vargas,34,"(Decimal('27.2268595'), Decimal('-120.524126'))",10.08,791.75,454,2024-09-03 12:48:03.854439,985,-116.2,70.24,11.19,2.71
1611,smartphone,Windows,Apple,Verizon,4993,Luke Saunders,43,"(Decimal('-50.343202'), Decimal('164.903147'))",45.52,431.21,6585,2024-07-13 05:34:31.496938,431,-48.3,30.26,3.55,0.48
6374,IoT device,iOS,Apple,Vodafone,491,Brandon Jennings,48,"(Decimal('-23.6919145'), Decimal('-27.526080'))",19.59,327.21,2108,2024-01-06 10:27:32.320712,486,-59.82,25.37,17.8,0.99
2343,smartphone,Windows,Apple,AT&T,1741,Allen Black,42,"(Decimal('-13.7164885'), Decimal('-115.947510'))",46.06,119.57,4257,2024-08-16 06:56:58.729216,129,-118.81,6.05,48.49,3.61
3070,IoT device,Android,Huawei,AT&T,2251,Jennifer Davis,57,"(Decimal('-71.697312'), Decimal('-120.665464'))",4.06,712.97,2132,2024-02-21 02:06:26.649739,494,-69.93,18.1,17.74,4.79
